id,title,section,emoji,resourceUrl,description,status,tag,userId,createdAt,updatedAt
fe9fc8f8-d370-4a6c-9797-2fb3ce765eda,Core smart contracts of Uniswap v4,proof-of-concepts,🔗,https://github.com/Uniswap/v4-core,"The core smart contracts of Uniswap v4, highlighting v4-core's singleton-style architecture, the management of all pool state in PoolManager.sol, and use of hook contracts to implement callbacks in the lifecycle of pool actions.",published,community,clto1kk45000011ukfdjy2ftp,2024-03-12 07:35:54.978,2024-03-12 07:35:54.978
9a7fa61e-d00b-4a26-9e64-b7f1abc87906,Uniswap v4 Developer Documents,guides,🛠️,https://docs.uniswapfoundation.org/,"Official V4 Developer Documents from Uniswap Foundation, covering topics including how developer would begin to start building out hooks on local testnets in order to start testing out hook designs.",published,community,clto1kk45000011ukfdjy2ftp,2024-03-12 07:35:55.233,2024-03-12 07:35:55.233
29af7877-a5e5-4553-89d5-b75ec67479b2,Hook Deployer,libraries,📦,https://github.com/drgorillamd/uniV4-hook-deployer,"Hook create2 deployer. This tool can deploy hooks to Ethereum, facilitating the implementation process.",published,community,clto1kk45000011ukfdjy2ftp,2024-03-12 07:35:55.5,2024-03-12 07:35:55.5
a20cc73f-c657-4ee2-b758-bbb215e5aa07,Hook Mine And Sinker,libraries,⛏️,https://github.com/devtooligan/HookMineAndSinker," Mine addresses for UniswapV4 Hooks. This tool generates random addresses eligible to become hooks, useful for testing or deploying your own Hooks.",published,community,clto1kk45000011ukfdjy2ftp,2024-03-12 07:35:55.629,2024-03-12 07:35:55.629
7476b705-6616-4545-bae6-daa9e1f3ef14,Scaffold Hook,libraries,🏗️,https://github.com/uniswapfoundation/scaffold-hook,"Uniswap v4 Hook development stack, complete with testnet deployment and UI. This tool helps builders develop and test Uniswap v4 Hooks with minimal interfaces for the swap lifecycle (pool creation, liquidity provision, and swapping).",published,community,clto1kk45000011ukfdjy2ftp,2024-03-12 07:35:55.759,2024-03-12 07:35:55.759
3ad1b3c9-fc26-4bac-9623-46e8a45898c2,Peripheral smart contracts for interacting with Uniswap v4,libraries,🧩,https://github.com/Uniswap/v4-periphery,"v4-periphery hosts the logic that builds on top of the core pool logic like hook contracts, position managers, and even possibly libraries needed for integrations. It is still under development and is being updated as the v4 ecosystem matures. Includes the BaseHook contract that can be used as a base for creating custom hooks.",published,community,clto1kk45000011ukfdjy2ftp,2024-03-12 07:35:55.9,2024-03-12 07:35:55.9
2369dc59-1535-49ca-b33d-8de562369900,SolidityLabs' Template,templates,🛠️,https://github.com/soliditylabs/uniswap-v4-custom-pool,A Foundry-based template for developing custom pools in Uniswap v4 with hooks.,published,community,clto1kk45000011ukfdjy2ftp,2024-03-12 07:35:56.031,2024-03-12 07:35:56.031
acbe378d-50f1-4637-9616-6633e9f0a405,Quantum3 Labs's Scaffold,advanced-tutorials,🚧,https://github.com/Quantum3-Labs/Scaffold-UniswapV4,"A boilerplate to use Uniswap v4 hooks with scaffold eth, facilitating hook development.",published,community,clto1kk45000011ukfdjy2ftp,2024-03-12 07:35:56.16,2024-03-12 07:35:56.16
1edd4b05-3eb7-4cae-8889-402a87a2ad1c,Uniswap Foundation's Template,templates,🏗️,https://github.com/uniswapfoundation/v4-template,"A template repository providing a starting point for writing Uniswap V4 hooks, with necessary files and contracts. Ideal for creating custom hooks that execute arbitrary code on swaps. Originally developed by saucepoint.",published,community,clto1kk45000011ukfdjy2ftp,2024-03-12 07:35:56.299,2024-03-12 07:35:56.299
7b942e44-b69b-4c23-b334-4cc252085025,Arrakis' Playground,templates,🧪,https://github.com/ArrakisFinance/uni-v4-playground,"A web-based application for interacting with hooks, allowing testing of your own hooks or learning about their operation. Simulates swaps to test hook functionality.",published,community,clto1kk45000011ukfdjy2ftp,2024-03-12 07:35:56.43,2024-03-12 07:35:56.43
