id,title,description,creator,github,status,userId,createdAt,updatedAt,categoryId,networkId,contractId,deploymentDateId
5acba287-8a51-4cea-a44b-0a751101e775,Uniswap-Fee-Cal,"Uniswap Fee Calculator is a tool for you to get the approximated fee APR from every trading pair on Uniswap. Currently it supports Ethereum, Polygon, Optimism, and Arbitrum. Users can easily expand the supported trading pairs and chains by editing the config file.",Tzu Yang Chuang,https://github.com/Johnnyyy24/Uniswap-V3-Fee-Calculator,published,clto1kk45000011ukfdjy2ftp,2024-03-12 09:59:59.424,2024-03-12 09:59:59.424,ethglobal-nyc,,,
3eae65c6-5c2a-4c38-959e-5f963c281f0e,UniKits,UniKits are a series of hooks and tools to enhance the functionality of UniSwap v4 Hooks. It's aimed to empower Uniswap-v4 Hooks with Auth to Swap Hooks and Swap to Share Hooks. A subgraph is also built to index on-chain data to form business logic data.,Jamie Cheng,https://github.com/UniKits-Dev,published,clto1kk45000011ukfdjy2ftp,2024-03-12 09:59:59.703,2024-03-12 09:59:59.703,ethglobal-nyc,,,
c12109f1-db36-4045-bf38-eeeb4dc7dfd9,Dononymous,"Dononymous allows you to donate anonymously, and ensures your donation always aligns with your interests.",Nicole Yeh,https://github.com/0xDononymous/dononymous,published,clto1kk45000011ukfdjy2ftp,2024-03-12 09:59:59.842,2024-03-12 09:59:59.842,ethglobal-nyc,,,
1f9c74f5-e4bd-44d6-b73a-1d21ff8e9fd5,NFT Pool Party,Enables you to launch your NFT collection on Uniswap & earn ongoing income streams from royalties (again). Used v4 Hooks to create NFT IDOs and gave the power back to the creators to control their royalties.,nftpoolparty,https://github.com/nftpoolparty/monorepo,published,clto1kk45000011ukfdjy2ftp,2024-03-12 09:59:59.993,2024-03-12 09:59:59.993,ethglobal-nyc,,,
f4e9f179-e73a-4b81-ac27-099d8bb9b1f5,Pedestal,A social trading platform where users create contests for them and their friends to compete in.,Alejandro Lopez,https://github.com/danieloadebimpe/pedestal,published,clto1kk45000011ukfdjy2ftp,2024-03-12 10:00:00.126,2024-03-12 10:00:00.126,ethglobal-nyc,,,
8603f06b-3259-4276-8aad-ca155469dd71,BestBuy,Exclusive discounted swaption market for NFT holders. Swap of 2 different ERC20 currencies.,Norika Kizawa,https://github.com/zkitty-norika/bestbuy,published,clto1kk45000011ukfdjy2ftp,2024-03-12 10:00:00.256,2024-03-12 10:00:00.256,ethglobal-nyc,,,
09f25834-efee-4312-82c7-3fb0596c9f8c,DeSavings,"DeSavings is an automated savings tool designed to help you create a savings plan for your incoming transactions. Make your wallet ""react"" to receiving tokens and automatically convert them to your desired currencies based on a split set by you.",Nashid Shah,https://github.com/nashidahmed/desavings-interface,published,clto1kk45000011ukfdjy2ftp,2024-03-12 10:00:00.389,2024-03-12 10:00:00.389,ethglobal-nyc,,,
abb6da13-28d0-4cd2-960b-72dd9de51963,Captain Hooks Collection,"A suite of custom Uniswap v4 hooks, offering tailored functionalities for traditional finance sectors with dynamic fee models within the DEX.",mrhouzlane,https://github.com/mrhouzlane/CaptainHooks,published,clto1kk45000011ukfdjy2ftp,2024-03-12 10:00:00.522,2024-03-12 10:00:00.522,from-the-community,,,
54fe4da1-a559-4354-a555-0e64be36a5b8,PADO Protocol Integration Hook,"Introduces off-chain data attestations via the PADO protocol to Uniswap v4, offering a prototype for privacy-conscious and compliance-oriented token swapping experiences.",pado-labs,https://github.com/pado-labs/offchain-data-hooks,published,clto1kk45000011ukfdjy2ftp,2024-03-12 10:00:00.653,2024-03-12 10:00:00.653,from-the-community,,,
f3a7cea1-e98c-4406-ae8c-7612b4b0bed8,CypherSwap,"CypherSwap is a P2P coordination mechanism that replaces VC dependency with direct commerce between creators and collectors. Using custom Uniswap hooks, it validates milestones with NFTs, uses Lens for social vetting & integrates Lit for conditional signing + token-gated access.",Emma-Jane MacKinnon-Lee,https://github.com/emmajane1313/cypherswap,published,clto1kk45000011ukfdjy2ftp,2024-03-12 10:00:00.785,2024-03-12 10:00:00.785,ethglobal-nyc,,,
